,IM,EQRecord,MaxDrift,MaxAbsAccel,MaxRelativeAccel,ResDrift,Iffinish
40,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.00363561 0.00285945 0.00184249],[0.430924 0.84099  1.02503  1.37109 ],[0.       0.883054 1.06112  1.39977 ],3.48439e-06,1.0
41,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.010085   0.00646661 0.00398851],[1.34065 1.42909 1.7726  2.28734],[0.      1.32736 1.81517 2.65499],0.00125249,1.0
42,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.020848   0.0130116  0.00601903],[2.25038 2.05655 2.45647 2.85498],[0.      1.76543 3.15435 3.58626],0.00517035,1.0
43,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.0359276 0.023104  0.0108088],[3.16011 2.87303 3.0094  3.19766],[0.      2.10543 4.66185 5.72745],0.0102731,1.0
44,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.0510256 0.0361721 0.0187896],[4.06983 3.65218 3.94905 4.13519],[0.      3.4706  6.54397 8.00261],0.0148197,1.0
45,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.0645388 0.0485111 0.0244969],[4.97956 4.16416 4.67423 4.72335],[0.      4.41634 7.93414 9.55257],0.0243215,1.0
46,1.3666666666666667,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.0784078 0.0599044 0.0305642],[5.88929 4.58986 5.33382 5.19635],[ 0.       5.20801  9.24584 10.9865 ],0.025316400000000003,1.0
47,1.577777777777778,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.0899943 0.0700101 0.0361794],[6.79902 5.23074 5.93576 5.68038],[ 0.      5.9697 10.4407 12.4794],0.0284447,1.0
48,1.788888888888889,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.0997927 0.0792943 0.041363 ],[7.70875 5.80624 6.47131 6.25217],[ 0.       6.80002 11.6565  13.9609 ],0.0284545,1.0
49,2.0,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.107804  0.0872994 0.046043 ],[8.61847 6.23141 6.86347 6.81391],[ 0.      7.5743 13.0209 15.358 ],0.0295439,1.0
50,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN725_SUPER.B_B-POE270,[0.00224313 0.00194784 0.00110245],[0.382215 0.45676  0.620829 0.809045],[0.       0.459307 0.882342 1.07056 ],0.000262672,1.0
51,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN725_SUPER.B_B-POE270,[0.00755668 0.00563308 0.00301263],[1.18911 1.19901 1.55704 1.98652],[0.      1.1171  2.04316 2.41622],0.00099994,1.0
52,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN725_SUPER.B_B-POE270,[0.0133071  0.010279   0.00504676],[1.99601 1.55502 2.0841  2.30306],[0.      1.61196 2.31151 2.8592 ],0.00249799,1.0
53,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN725_SUPER.B_B-POE270,[0.0174526  0.0144971  0.00719571],[2.80291 1.75733 2.57667 2.76459],[0.      2.12677 2.8453  3.63891],0.00210762,1.0
54,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN725_SUPER.B_B-POE270,[0.0227144 0.0186042 0.0106075],[3.60981 2.07286 2.88683 3.35776],[0.      2.58557 3.80211 5.15745],0.00110324,1.0
55,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN725_SUPER.B_B-POE270,[0.0294557 0.0236917 0.0144161],[4.41671 2.54606 3.14492 3.89255],[0.      3.04367 4.81266 6.44022],0.000618495,1.0
56,1.3666666666666667,Resources/FEMA_P-695_far-field_ground_motions/RSN725_SUPER.B_B-POE270,[0.0352224 0.028722  0.0173315],[5.22361 2.90503 3.37941 4.32263],[0.      3.39718 5.71067 7.56191],0.00107754,1.0
57,1.577777777777778,Resources/FEMA_P-695_far-field_ground_motions/RSN725_SUPER.B_B-POE270,[0.0410835 0.0334711 0.0199692],[6.03051 3.27433 3.68654 4.71231],[0.      3.85876 6.6647  8.75419],0.0017107,1.0
58,1.788888888888889,Resources/FEMA_P-695_far-field_ground_motions/RSN725_SUPER.B_B-POE270,[0.0473253 0.038326  0.0221722],[6.83741 3.59368 3.99795 5.02403],[0.      4.49411 7.61094 9.90979],0.00423593,1.0
59,2.0,Resources/FEMA_P-695_far-field_ground_motions/RSN725_SUPER.B_B-POE270,[0.0546355 0.0437051 0.0243347],[7.6443  3.80623 4.30717 5.2974 ],[ 0.       5.074    8.57665 10.9771 ],0.00605884,1.0
60,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN752_LOMAP_CAP000,[0.00298279 0.00220311 0.00196132],[0.624504 1.19916  1.12435  1.47571 ],[0.      1.28729 1.67833 1.36665],5.39431e-05,1.0
61,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN752_LOMAP_CAP000,[0.0169296  0.010597   0.00618346],[1.9429  3.0725  2.4861  2.76837],[0.      2.502   4.20957 3.27296],0.00330599,1.0
62,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN752_LOMAP_CAP000,[0.0228901  0.0158799  0.00867512],[3.2613  3.30014 2.9071  3.41164],[0.      3.5176  5.48573 5.06422],0.00318393,1.0
63,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN752_LOMAP_CAP000,[0.0317775 0.0230863 0.0119524],[4.5797  4.0136  3.05712 4.14415],[0.      4.88283 7.1196  7.02055],0.00361285,1.0
64,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN752_LOMAP_CAP000,[0.044042  0.0309468 0.0171394],[5.89809 4.45566 3.66359 4.37693],[0.      6.23501 8.89557 8.73091],0.00566087,1.0
65,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN752_LOMAP_CAP000,[0.0574262 0.038504  0.0206488],[7.21649 5.06154 4.32779 4.93914],[ 0.       7.13319 10.6251  10.1537 ],0.010649500000000001,1.0
66,1.3666666666666667,Resources/FEMA_P-695_far-field_ground_motions/RSN752_LOMAP_CAP000,[0.0787407 0.0547942 0.0283677],[8.53489 5.73989 4.85001 5.52282],[ 0.       8.13928 12.3738  11.8397 ],0.020441900000000002,1.0
